id,occurrenceID,catalogNumber,basisOfRecord,collectionCode,scientificName,taxonRank,kingdom,family,higherClassification,vernacularName,previousIdentifications,individualCount,lifeStage,sex,longitudeDecimal,latitudeDecimal,geodeticDatum,dataGeneralizations,coordinateUncertaintyInMeters,continent,country,countryCode,stateProvince,locality,habitat,recordedBy,eventID,eventDate,eventTime,samplingProtocol,behavior,associatedTaxa,references,rightsHolder,license,modified
98481952@OBS,https://observation.org/observation/98481952,OBS.98481952,HumanObservation,Observations,Leucorrhinia caudalis,species,Animalia,SKIMMERS_LIBELLULIDAE,Animalia|SKIMMERS_LIBELLULIDAE,Lilypad Whiteface,,1,imago,undetermined,22.8,54.2,WGS84,,5000,Europe,Poland,PL,,Poland - Podlaskie,,,,7/14/2014,12:20,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.98481952,Stichting Natuurinformatie,CC BY-NC 4.0,3/7/2015
98481620@OBS,https://observation.org/observation/98481620,OBS.98481620,HumanObservation,Observations,Sympetrum sanguineum,species,Animalia,SKIMMERS_LIBELLULIDAE,Animalia|SKIMMERS_LIBELLULIDAE,Ruddy Darter,,1,imago,female,22.80982062,54.22525228,WGS84,,1000,Europe,Poland,PL,,Poland - Podlaskie,,,,7/14/2014,12:18,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.98481620,Stichting Natuurinformatie,CC BY-NC 4.0,3/6/2015
98481529@OBS,https://observation.org/observation/98481529,OBS.98481529,HumanObservation,Observations,Orthetrum cancellatum,species,Animalia,SKIMMERS_LIBELLULIDAE,Animalia|SKIMMERS_LIBELLULIDAE,Black-tailed Skimmer,,1,imago,female,22.80982062,54.22525228,WGS84,,1000,Europe,Poland,PL,,Poland - Podlaskie,,,,7/14/2014,12:15,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.98481529,Stichting Natuurinformatie,CC BY-NC 4.0,3/6/2015
98481476@OBS,https://observation.org/observation/98481476,OBS.98481476,HumanObservation,Observations,Speyeria aglaja,species,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Animalia|BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Dark Green Fritillary,,1,imago,undetermined,22.80982062,54.22525228,WGS84,,1000,Europe,Poland,PL,,Poland - Podlaskie,,,,7/14/2014,11:59,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.98481476,Stichting Natuurinformatie,CC BY-NC 4.0,3/6/2015
98481304@OBS,https://observation.org/observation/98481304,OBS.98481304,HumanObservation,Observations,Thymelicus sylvestris,species,Animalia,SKIPPERS_HESPERIIDAE,Animalia|SKIPPERS_HESPERIIDAE,Small Skipper,,1,imago,male,22.8105931,54.22404802,WGS84,,1000,Europe,Poland,PL,,Poland - Podlaskie,,,,7/14/2014,12:11,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.98481304,Stichting Natuurinformatie,CC BY-NC 4.0,3/7/2015
98481217@OBS,https://observation.org/observation/98481217,OBS.98481217,HumanObservation,Observations,Lycaena virgaureae,species,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Animalia|GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Scarce Copper,,1,imago,male,22.8,54.2,WGS84,,5000,Europe,Poland,PL,,Poland - Podlaskie,,,,7/14/2014,12:07,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.98481217,Stichting Natuurinformatie,CC BY-NC 4.0,3/6/2015
98481195@OBS,https://observation.org/observation/98481195,OBS.98481195,HumanObservation,Observations,Coenonympha glycerion,species,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Animalia|BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Chestnut Heath,,2,imago,undetermined,22.8,54.2,WGS84,,5000,Europe,Poland,PL,,Poland - Podlaskie,,,,7/14/2014,12:04,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.98481195,Stichting Natuurinformatie,CC BY-NC 4.0,3/6/2015
98481095@OBS,https://observation.org/observation/98481095,OBS.98481095,HumanObservation,Observations,Coenonympha arcania,species,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Animalia|BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Pearly Heath,,1,imago,undetermined,22.8,54.2,WGS84,,5000,Europe,Poland,PL,,Poland - Podlaskie,,,,7/14/2014,12:30,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.98481095,Stichting Natuurinformatie,CC BY-NC 4.0,3/6/2015
98480958@OBS,https://observation.org/observation/98480958,OBS.98480958,HumanObservation,Observations,Fabriciana adippe,species,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Animalia|BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,High Brown Fritillary,,1,imago,undetermined,22.8105931,54.22404802,WGS84,,1000,Europe,Poland,PL,,Poland - Podlaskie,,,,7/14/2014,12:02,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.98480958,Stichting Natuurinformatie,CC BY-NC 4.0,4/9/2015
98480802@OBS,https://observation.org/observation/98480802,OBS.98480802,HumanObservation,Observations,Orthetrum cancellatum,species,Animalia,SKIMMERS_LIBELLULIDAE,Animalia|SKIMMERS_LIBELLULIDAE,Black-tailed Skimmer,,1,imago,male,22.8105931,54.22404802,WGS84,,1000,Europe,Poland,PL,,Poland - Podlaskie,,,,7/14/2014,12:01,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.98480802,Stichting Natuurinformatie,CC BY-NC 4.0,3/6/2015
